song_id,song_name,id_artists,name_artists,popularity,explicit,song_type,track_number,num_artists,num_available_markets,release_date,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
6SzMGHWwN4RcDdZEriNCxR,make up,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],37,FALSE,Solo,7,1,24,2/7/18,140693,7,1,3,0.0849,0.439,0.728,0,0.0623,-5.405,0.277,0.427,47.644
4lD7gHKF1e8Y9stQuVezZB,ghostin,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],50,FALSE,Solo,8,1,24,2/7/18,271467,9,1,4,0.422,0.396,0.358,0.0000171,0.19,-8.294,0.0292,0.111,103.807
2QIcCx7MV914oIL2JmBoBV,in my head,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],40,FALSE,Solo,9,1,24,2/7/18,222947,0,1,4,0.163,0.631,0.607,0.0000672,0.108,-6.439,0.071,0.354,134.854
0nox76VxGYPIIIP7yr5I6o,7 rings,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],57,FALSE,Solo,10,1,24,2/7/18,178627,1,0,4,0.559,0.78,0.321,0,0.0881,-10.747,0.371,0.316,139.961
4KBx9DSSbFaumwlEqjX4CP,"thank u, next",['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],54,FALSE,Solo,11,1,24,2/7/18,207320,1,1,4,0.268,0.743,0.662,0.00000136,0.102,-5.745,0.0534,0.408,107.027
5BHQG3Ibf7qZUlhWFaXqDa,"break up with your girlfriend, i'm bored",['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],51,FALSE,Solo,12,1,24,2/7/18,190440,5,0,4,0.0361,0.723,0.563,0,0.0873,-5.26,0.0795,0.329,170.004
4TZdeM7zelZGz6JPrXSEZ1,Moonlight,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],66,FALSE,Solo,1,1,76,5/20/16,202360,9,1,3,0.417,0.626,0.412,0.00000355,0.048,-7.339,0.0292,0.209,102.169
1pKeFVVUOPjFsOABub0OaV,Side To Side,"['66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']","['Ariana Grande', 'Nicki Minaj']",78,TRUE,Collaboration,5,2,76,5/20/16,226160,6,0,4,0.0513,0.65,0.736,0,0.235,-5.84,0.229,0.612,159.174
5AKlnLpP3WLwZseNbjquND,Let Me Love You,"['66CXWjxzNUsdJxJ2JdwvnR', '55Aa2cqylxrFIXC767Z865']","['Ariana Grande', 'Lil Wayne']",67,FALSE,Collaboration,6,2,76,5/20/16,223853,2,1,3,0.0295,0.528,0.435,0,0.243,-8.363,0.129,0.0781,102.704
2tpIAmAq9orm1Owh5pja1w,Greedy,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],65,FALSE,Solo,7,1,76,5/20/16,214907,1,1,4,0.0323,0.62,0.705,0,0.092,-5.335,0.0989,0.844,109.974
0zXXqCxifU2u8jfW2r4POb,Leave Me Lonely,"['66CXWjxzNUsdJxJ2JdwvnR', '4ylR3zwA0zaapAu94fktwa']","['Ariana Grande', 'Macy Gray']",61,FALSE,Collaboration,8,2,76,5/20/16,229680,8,0,3,0.596,0.445,0.449,0.0000234,0.339,-7.472,0.0315,0.374,90.927
6yL2kTsdVwYnGwPkKGtMd5,Everyday,"['66CXWjxzNUsdJxJ2JdwvnR', '1RyvyyTE3xzB2ZywiAwp0i']","['Ariana Grande', 'Future']",70,TRUE,Collaboration,9,2,76,5/20/16,194840,7,0,4,0.0152,0.637,0.733,0,0.162,-4.387,0.0553,0.432,131.005
1FlYPPzFJUNh3KRE36pYbe,Sometimes,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],61,FALSE,Solo,10,1,76,5/20/16,226667,4,1,4,0.0901,0.394,0.666,0,0.344,-5.383,0.25,0.561,77.827
6j4w8O8gEseBUZTOo8vYMK,I Don't Care,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],57,TRUE,Solo,11,1,76,5/20/16,178027,0,1,4,0.729,0.59,0.403,0.00000138,0.153,-8.286,0.0431,0.287,111.948
1j0Rb762xxT0eccglHKsRv,Bad Decisions,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],61,TRUE,Solo,12,1,76,5/20/16,226427,4,0,4,0.0146,0.698,0.646,0,0.269,-5.368,0.0415,0.787,131.945
7MGRcJy1saXKiphwqJBnRb,Touch It,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],63,FALSE,Solo,13,1,76,5/20/16,260000,7,0,4,0.0305,0.536,0.694,0,0.183,-4.369,0.0331,0.293,100.899
2SUQGI9ztmp0PQd1J8SVHx,Knew Better / Forever Boy,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],60,FALSE,Solo,14,1,76,5/20/16,299213,6,1,4,0.235,0.484,0.38,0.0000038,0.0998,-6.706,0.071,0.372,106.652
6iOhd5wNnvvwGDEuNILvM5,Thinking Bout You,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],63,TRUE,Solo,15,1,76,5/20/16,200400,11,1,4,0.0149,0.507,0.697,0.000887,0.122,-6.021,0.0616,0.401,102.983
